id,code,name
1,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
2,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
3,00009,"['政治经济学', '财经类', '政治经济学（财经类）']"
4,04729,"['大学语文', '大学语文']"
5,00066,"['货币', '银行学', '货币银行学']"
6,00043,"['经济法', '概论', '财经类', '经济法概论(财经类)']"
7,00065,"['国民经济', '统计', '概论', '国民经济统计概论']"
8,00041,"['基础', '会计学', '基础会计学']"
9,00018,"['计算机', '应用', '基础', '计算机应用基础']"
10,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
11,00072,"['商业银行', '业务', '经营', '商业银行业务与经营']"
12,00073,"['银行信贷', '管理学', '银行信贷管理学']"
13,00060,"['财政学', '财政学']"
14,00055,"['企业', '会计学', '企业会计学']"
15,00103,"['证券', '投资', '证券投资学']"
16,05679,"['宪法学', '宪法学']"
17,00020,"['高等数学', '高等数学(一)']"
18,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
19,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
20,04729,"['大学语文', '大学语文']"
21,00020,"['高等数学', '高等数学(一)']"
22,00009,"['政治经济学', '财经类', '政治经济学（财经类）']"
23,00088,"['基础', '英语', '基础英语']"
24,00094,"['外贸', '函电', '外贸函电']"
25,00092,"['中国', '对外贸易', '中国对外贸易']"
26,00089,"['国际贸易', '国际贸易']"
27,00090,"['国际贸易', '实务', '国际贸易实务(一)']"
28,00076,"['国际金融', '国际金融']"
29,00041,"['基础', '会计学', '基础会计学']"
30,00058,"['市场', '营销学', '市场营销学']"
31,00091,"['国际', '商法', '国际商法']"
32,00018,"['计算机', '应用', '基础', '计算机应用基础']"
33,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
34,05679,"['宪法学', '宪法学']"
35,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
36,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
37,02126,"['应用文', '写作', '应用文写作']"
38,00018,"['计算机', '应用', '基础', '计算机应用基础']"
39,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
40,00012,"['英语', '英语（一）']"
41,00178,"['市场', '调查', '预测', '市场调查与预测']"
42,00054,"['管理学', '原理', '管理学原理']"
43,03875,"['会展', '概论', '会展概论']"
44,08883,"['会展', '政策法规', '会展政策法规']"
45,03872,"['会展', '营销', '会展营销']"
46,03873,"['现代', '商务礼仪', '现代商务礼仪']"
47,08884,"['会展', '经济学', '会展经济学']"
48,08885,"['会展', '管理', '服务', '技能', '考核', '会展管理服务技能考核（一）']"
49,00040,"['法学', '概论', '法学概论']"
50,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
51,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
52,04729,"['大学语文', '大学语文']"
53,00020,"['高等数学', '高等数学(一)']"
54,00009,"['政治经济学', '财经类', '政治经济学(财经类）']"
55,00043,"['经济法', '概论', '财经类', '经济法概论(财经类)']"
56,00012,"['英语', '英语(一)']"
57,00055,"['企业', '会计学', '企业会计学']"
58,00145,"['生产', '作业管理', '生产与作业管理']"
59,00144,"['企业', '管理', '概论', '企业管理概论']"
60,00065,"['国民经济', '统计', '概论', '国民经济统计概论']"
61,00018,"['计算机', '应用', '基础', '计算机应用基础']"
62,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
63,05171,"['中小企业', '战略', '管理', '中小企业战略管理']"
64,00041,"['基础', '会计学', '基础会计学']"
